Word_freq_make Word_freq_address Word_freq_all Word_freq_3d Word_freq_our Word_freq_over Word_freq_remove Word_freq_internet Word_freq_order Word_freq_mail Word_freq_receive Word_freq_will Word_freq_people Word_freq_report Word_freq_addresses Word_freq_free Word_freq_business Word_freq_email Word_freq_you Word_freq_credit Word_freq_your Word_freq_font Word_freq_000 Word_freq_money Word_freq_hp Word_freq_hpl Word_freq_george Word_freq_650 Word_freq_lab Word_freq_labs Word_freq_telnet Word_freq_857 Word_freq_data Word_freq_415 Word_freq_85 Word_freq_technology Word_freq_1999 Word_freq_parts Word_freq_pm Word_freq_direct Word_freq_cs Word_freq_meeting Word_freq_original Word_freq_project Word_freq_re Word_freq_edu Word_freq_table Word_freq_conference Char_freq1 Char_freq2 Char_freq3 Char_freq4 Char_freq5 Char_freq6 Capital_run_length_average Capital_run_length_longest Capital_run_length_total Class
-0.34253 -0.16515 0.07850 -0.04692 0.48698 1.98636 1.34258 0.53504 -0.32338 -0.37155 -0.29700 -0.25744 0.75135 -0.17479 -0.19020 0.08588 0.39954 0.25455 0.34263 -0.16797 2.02449 -0.11822 -0.29014 0.50967 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 0.33537 -0.19718 -0.07142 -0.11160 -0.15851 0.06239 -0.15461 -0.32996 0.32579 -0.10308 -0.11047 -0.17029 -0.20833 1
-0.34253 -0.16515 1.03075 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 -0.03476 -0.16797 -0.67434 -0.11822 -0.29014 -0.21305 1.10672 1.50402 -0.22800 1.25301 -0.16668 -0.22519 -0.16061 -0.14328 2.70228 -0.14528 1.30440 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 0.49354 -0.19718 -0.07142 -0.11160 -0.15851 0.85744 0.97095 -0.32996 -0.30847 -0.10308 -0.08678 -0.21645 -0.36661 0
-0.34253 -0.16515 -0.55634 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 0.39896 -0.16797 0.16696 -0.11822 -0.29014 -0.21305 0.07192 1.60547 0.07185 0.38060 -0.16668 1.24151 -0.16061 -0.14328 -0.17500 -0.14528 0.42165 -0.24182 0.45548 -0.05986 -0.18099 -0.18528 2.67542 -0.17251 1.26791 -0.12722 0.70113 0.91105 -0.07142 -0.11160 -0.15851 -0.11511 -0.15461 -0.32996 -0.30847 -0.10308 -0.10533 -0.20106 -0.30231 0
-0.34253 -0.16515 -0.55634 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 -0.93599 -0.16797 -0.67434 -0.11822 -0.29014 -0.21305 1.72880 3.57794 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 15.94288 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 3.10322 -0.19718 -0.07142 -0.11160 -0.15851 -0.51449 -0.15461 -0.32996 -0.30847 -0.10308 -0.07487 -0.22671 -0.41607 0
-0.34253 -0.16515 -0.55634 -0.04692 3.54934 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 -0.93599 5.12691 -0.67434 -0.11822 -0.29014 -0.21305 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 4.21263 -0.29728 -0.19718 -0.07142 -0.11160 -0.15851 -0.51449 -0.15461 -0.32996 -0.30847 -0.10308 -0.11954 -0.24210 -0.44410 0
-0.34253 -0.16515 3.90736 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 -0.93599 -0.16797 -0.67434 -0.11822 -0.29014 -0.21305 1.01700 1.39131 -0.22800 1.16020 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 1.21049 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 0.44411 -0.19718 -0.07142 -0.11160 -0.15851 0.85005 -0.15461 -0.32996 -0.30847 -0.10308 -0.09963 -0.21645 -0.36331 0
-0.34253 -0.16515 0.07850 -0.04692 0.48698 1.98636 0.52532 0.53504 -0.32338 -0.37155 -0.29700 -0.25744 0.75135 -0.17479 -0.19020 0.08588 0.39954 -0.34782 0.34263 -0.16797 2.02449 -0.11822 -0.29014 0.50967 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 0.33537 -0.19718 -0.07142 -0.11160 -0.15851 -0.12991 -0.15461 -0.32996 0.32986 -0.10308 -0.11658 -0.21645 -0.23800 1
-0.34253 -0.16515 -0.00086 -0.04692 0.78430 2.71654 0.42317 -0.26259 0.68129 0.06261 -0.29700 -0.30385 -0.31172 -0.17479 -0.19020 0.37642 -0.32100 0.70633 0.48345 -0.16797 -0.44111 -0.11822 -0.29014 -0.21305 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 0.61467 -0.12062 -0.17251 -0.20609 -0.12722 -0.02049 -0.19718 -0.07142 -0.11160 -0.15851 -0.32959 -0.15461 -0.26868 -0.30847 -0.10308 -0.09802 -0.09334 -0.21987 1
-0.34253 -0.16515 -0.55634 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 -0.93599 -0.16797 -0.67434 -0.11822 -0.29014 -0.21305 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 1.03007 -0.29728 -0.19718 -0.07142 -0.11160 -0.15851 -0.51449 -0.15461 -0.32996 -0.30847 0.18331 -0.10851 -0.24723 -0.43256 0
-0.34253 -0.16515 -0.55634 -0.04692 -0.46443 -0.35022 -0.29193 -0.26259 -0.32338 -0.37155 -0.29700 -0.62871 -0.31172 -0.17479 -0.19020 -0.30152 -0.32100 -0.34782 2.81538 -0.16797 -0.67434 -0.11822 -0.29014 -0.21305 -0.32884 -0.29938 -0.22800 -0.23194 -0.16668 -0.22519 -0.16061 -0.14328 -0.17500 -0.14528 -0.19816 -0.24182 -0.32361 -0.05986 -0.18099 -0.18528 -0.12062 -0.17251 -0.20609 -0.12722 -0.29728 -0.19718 -0.07142 -0.11160 -0.15851 -0.51449 -0.15461 -0.32996 -0.30847 -0.10308 -0.13214 -0.26262 -0.45069 0
